"Sample_ID","uniquely_mapped_total","FemaleID","Date","RIN","Postcop","swelling","male_presence","cycle","phase","phasecode","SampleType","MaleID","DyadID","MHCI_allele_comp","MHCII_allele_comp","MHCI_supertype_comp","MHCII_supertype_comp","Male_stMLH","Male_MHCI_allele","Male_MHCII_allele","Male_MHCI_supertype","Male_MHCII_supertype","KINSHIP"
"1",4986300,"Vertige","12/11/18",6.2,"N","LGS","No Male",1,"pre-fertile","PreF","Vaginal","Momo",2,0.4,0.4,0.666666666666667,0.833333333333333,1.038536994,10,8,6,5,0.237535
"10",23585107,"Barbie","12/21/18",4.8,"N","FD","No Male",0,"non-fertile","NonF","Vaginal","Momo",1,0.2941,0,0.666666666666667,0.285714285714286,1.038536994,10,8,6,5,-0.0928548
"101",19027375,"Suzon","4/5/19",6.2,"Y","LGS","With Male",1,"pre-fertile","PreF","Vaginal","Rodolphe",5,0.2778,0,0.4,0.375,0.878142928,10,7,5,6,-0.183528
"102",5626324,"Suzon","4/6/19",7.5,"Y","LGS","With Male",1,"pre-fertile","PreF","Vaginal","Rodolphe",5,0.2778,0,0.4,0.375,0.878142928,10,7,5,6,-0.183528
"104",25901983,"Odila","4/6/19",5,"N","LGS","With Male",2,"pre-fertile","PreF","Vaginal","Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.878142928,10,7,5,6,0.192754
"106",17723755,"Odila","4/8/19",4.8,"N","LGS","With Male",2,"pre-fertile","PreF","Vaginal","Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.878142928,10,7,5,6,0.192754
"107",5596299,"Suzon","4/8/19",7.1,"Y","LGS","With Male",1,"pre-fertile","PreF","Vaginal","Rodolphe",5,0.2778,0,0.4,0.375,0.878142928,10,7,5,6,-0.183528
"111",19892900,"Odila","4/11/19",5.5,"N","DGS","With Male",2,"fertile","F","Vaginal","Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.878142928,10,7,5,6,0.192754
"115",25620004,"Suzon","4/12/19",5.5,"Y","LGS","With Male",1,"fertile","F","Vaginal","Rodolphe",5,0.2778,0,0.4,0.375,0.878142928,10,7,5,6,-0.183528
"119",9677993,"Odila","4/16/19",3,"N","FD","With Male",2,"post-fertile","PostF","Vaginal","Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.878142928,10,7,5,6,0.192754
"120",7554575,"Suzon","4/16/19",5,"N","DGS","With Male",1,"post-fertile","PostF","Vaginal","Rodolphe",5,0.2778,0,0.4,0.375,0.878142928,10,7,5,6,-0.183528
