"Sample_ID","subject.x","date.x","DV200","RIN_RQN.y","Adj_conc","Round","Volume","Postcop","subjectdate","subject.y","date.y","E.I.","swelling","male_status","cycle","phase","notes","phasecode"
"1","Vertige","12/11/18",87.4,6.2,26.28,"38",64,"N","Vertige12/11/18","Vertige","12/11/18",NA,"LGS","No Male",1,"pre-fertile","*1st day LGS","PreF"
"2","Vertige","12/14/18",82.84,5.9,68.2,"6",64,"N","Vertige12/14/18","Vertige","12/14/18",59.86893204,"LGS","No Male",1,"fertile","Ovulation happened over the weekend?","F"
"3","Vertige","12/17/18",59.7,1.8,27.486,"34",64,"N","Vertige12/17/18","Vertige","12/17/18",50.27479661,"DGS","No Male",1,"post-fertile","*1st day DGS","PostF"
"4","Vertige","12/17/18",31.5,2.9,46.29,"BF1",40,"N","Vertige12/17/18","Vertige","12/17/18",50.27479661,"DGS","No Male",1,"post-fertile","*1st day DGS","PostF"
"5","Vertige","12/18/18",1.8,7.8,497.93,"BF1",40,"N","Vertige12/18/18","Vertige","12/18/18",NA,"DGS","No Male",1,"post-fertile","","PostF"
"6","Vertige","12/19/18",3.5,9.4,25.82,"BF1",40,"N","Vertige12/19/18","Vertige","12/19/18",NA,"FD","No Male",1,"post-fertile","","PostF"
"9","Vertige","12/21/18",5.9,5.8,0.62,"BF1",40,"N","Vertige12/21/18","Vertige","12/21/18",NA,"FD","No Male",1,"post-fertile","","PostF"
"10","Barbie","12/21/18",85.24,4.8,42.5,"33",64,"N","Barbie12/21/18","Barbie","12/21/18",NA,"FD","No Male",0,"non-fertile","","NonF"
"11","Vertige","12/23/18",51.3,1.7,102.78,"25",64,"N","Vertige12/23/18","Vertige","12/23/18",46.32692308,"FD","No Male",1,"non-fertile","","NonF"
"12","Barbie","12/23/18",83.9,3.9,48.291,"34",64,"N","Barbie12/23/18","Barbie","12/23/18",25.65247253,"FD","No Male",0,"non-fertile","","NonF"
"13","Vertige","12/24/18",NA,NA,NA,"BF1",40,"N","Vertige12/24/18","Vertige","12/24/18",36.91747573,"FD","No Male",1,"non-fertile","","NonF"
"14","Barbie","12/26/18",76.78,4.6,2.56,"14",64,"N","Barbie12/26/18","Barbie","12/26/18",31.73076923,"MN","No Male",1,"non-fertile","","NonF"
"15","Vertige","12/26/18",73.44,3.7,9.19,"24",64,"N","Vertige12/26/18","Vertige","12/26/18",28.25,"FD","No Male",1,"non-fertile","","NonF"
"16","Vertige","12/26/18",NA,NA,NA,"BF1",40,"N","Vertige12/26/18","Vertige","12/26/18",28.25,"FD","No Male",1,"non-fertile","","NonF"
"17","Barbie","12/29/18",55.38,1,1.97,"30",64,"N","Barbie12/29/18","Barbie","12/29/18",30.3236246,"MN","No Male",1,"non-fertile","/MGS","NonF"
"18","Vertige","12/29/18",80.41,4.7,6.85,"24",64,"N","Vertige12/29/18","Vertige","12/29/18",16.70605742,"FD","No Male",1,"non-fertile","","NonF"
"19","Barbie","12/29/18",60.45,2.2,0.512,"27",64,"N","Barbie12/29/18","Barbie","12/29/18",30.3236246,"MN","No Male",1,"non-fertile","/MGS","NonF"
"20","Vertige","12/29/18",NA,NA,NA,"BF1",40,"N","Vertige12/29/18","Vertige","12/29/18",16.70605742,"FD","No Male",1,"non-fertile","","NonF"
"22","Vertige","1/2/19",59,2.8,8.1518,"24",64,"N","Vertige1/2/19","Vertige","1/2/19",NA,"MN","No Male",2,"non-fertile","","NonF"
"23","Vertige","1/5/19",NA,NA,NA,"BF2",100,"N","Vertige1/5/19","Vertige","1/5/19",NA,"MN","No Male",2,"non-fertile","","NonF"
"24","Vertige","1/7/19",49.88,6,0.386,"17",64,"N","Vertige1/7/19","Vertige","1/7/19",40.34653465,"MGS","No Male",2,"non-fertile","*1st day MGS","NonF"
"25","Barbie","1/7/19",77.08,4.3,0.691,"16",64,"N","Barbie1/7/19","Barbie","1/7/19",82.84634055,"DGS","No Male",1,"fertile","*1st day DGS","F"
"26","Vertige","1/9/19",70.01,6.3,1.25,"11",64,"N","Vertige1/9/19","Vertige","1/9/19",52.64929474,"MGS","No Male",2,"non-fertile","","NonF"
"27","Vertige","1/9/19",NA,NA,NA,"BF1",40,"N","Vertige1/9/19","Vertige","1/9/19",52.64929474,"MGS","No Male",2,"non-fertile","","NonF"
"28","Vertige","1/11/19",59.66,5.6,0.599,"14",64,"N","Vertige1/11/19","Vertige","1/11/19",54.20311449,"MGS","With Male",2,"pre-fertile","","PreF"
"29","Barbie","1/14/19",80.87,3.1,50.7,"9",64,"N","Barbie1/14/19","Barbie","1/14/19",28.86885246,"FD","With Male",1,"post-fertile","","PostF"
"30","Vertige","1/14/19",79.85,6.1,3,"6",64,"N","Vertige1/14/19","Vertige","1/14/19",56.24468989,"LGS","With Male",2,"pre-fertile","*1st day LGS","PreF"
"31","Vertige","1/15/19",79.2,6.1,5.12,"31",64,"N","Vertige1/15/19","Vertige","1/15/19",66.45873786,"LGS","With Male",2,"pre-fertile","","PreF"
"32","Vertige","1/15/19",NA,NA,NA,"BF1",40,"N","Vertige1/15/19","Vertige","1/15/19",66.45873786,"LGS","With Male",2,"pre-fertile","","PreF"
"33","Vertige","1/16/19",58.8,4.4,0.175,"21",64,"Y","Vertige1/16/19","Vertige","1/16/19",96,"LGS","With Male",2,"fertile","","F"
"35","Vertige","1/16/19",48.27,4,0.068,"7",64,"Y","Vertige1/16/19","Vertige","1/16/19",96,"LGS","With Male",2,"fertile","","F"
"36","Vertige","1/17/19",26,1.9,1.0894,"27",64,"Y","Vertige1/17/19","Vertige","1/17/19",95.5,"LGS","With Male",2,"fertile","","F"
"38","Vertige","1/18/19",26.9,2.9,0.4356,"29",64,"Y","Vertige1/18/19","Vertige","1/18/19",97,"LGS","With Male",2,"fertile","","F"
"39","Vertige","1/21/19",35.6,3.3,0.3458,"19",64,"Y","Vertige1/21/19","Vertige","1/21/19",57.27777778,"DGS","With Male",2,"post-fertile","","PostF"
"40","Barbie","1/22/19",48.5,1.3,86.03,"BF2",100,"N","Barbie1/22/19","Barbie","1/22/19",8.813713592,"MN","With Male",2,"non-fertile","start MN","NonF"
