Sample,total_reads,avg_input_read_length,uniquely_mapped,uniquely_mapped_percent,avg_mapped_read_length,num_splices,num_annotated_splices,num_GTAG_splices,num_GCAG_splices,num_ATAC_splices,num_noncanonical_splices,mismatch_rate,deletion_rate,deletion_length,insertion_rate,insertion_length,multimapped,multimapped_percent,multimapped_toomany,multimapped_toomany_percent,unmapped_mismatches_percent,unmapped_tooshort_percent,unmapped_other_percent,unmapped_mismatches,unmapped_tooshort,unmapped_other
1.L1,11076567,50,2463691,22.24,23.25,5967,113,1755,141,12,4059,3.76,0.01,1.6,0.01,1.68,7707446,69.58,735754,6.64,0,1.51,0.02,0,167458,2218
1.L2,11347918,50,2522609,22.23,23.25,6096,114,1748,171,11,4166,3.75,0.01,1.62,0.01,1.61,7896292,69.58,755307,6.66,0,1.51,0.02,0,171439,2271
10.L1,15875104,50,11652530,73.4,48.27,743223,716324,727290,5275,458,10200,0.37,0.02,1.69,0.01,1.49,3839576,24.19,252950,1.59,0,0.27,0.55,0,42821,87227
10.L2,16253132,50,11932577,73.42,48.27,759359,731558,742935,5415,482,10527,0.37,0.02,1.68,0.01,1.49,3928838,24.17,258498,1.59,0,0.27,0.55,0,43865,89354
101.L1,43908263,50,9419234,21.45,20.98,31446,2049,4940,243,12,26251,3.75,0,1.94,0,1.56,31442087,71.61,2503407,5.7,0,1.24,0,0,543535,0
101.L2,44799084,50,9608141,21.45,20.99,32024,2072,5054,247,13,26710,3.75,0,1.9,0,1.66,32078404,71.61,2556061,5.71,0,1.24,0,0,556478,0
102.L1,12563292,50,2778819,22.12,20.87,7310,407,1645,92,2,5571,3.72,0,1.85,0,1.31,8965887,71.37,676054,5.38,0,1.13,0,0,142532,0
102.L2,12866929,50,2847505,22.13,20.87,7598,383,1740,97,7,5754,3.72,0,1.88,0,1.54,9179756,71.34,693587,5.39,0,1.13,0,0,146081,0
104.L1,63267699,50,12811412,20.25,21.45,50935,9840,35325,408,27,15175,3.88,0,1.87,0,1.36,45608518,72.09,3619131,5.72,0,1.94,0,0,1228638,0
104.L2,64706091,50,13090571,20.23,21.45,52213,9858,36126,435,19,15633,3.88,0,1.88,0,1.4,46653173,72.1,3703615,5.72,0,1.94,0,0,1258732,0
106.L1,43030717,50,8777088,20.4,21.31,31686,4410,19689,282,15,11700,3.91,0,1.94,0,1.52,30906056,71.82,2541147,5.91,0,1.87,0,0,806426,0
106.L2,43879203,50,8946667,20.39,21.31,32345,4440,20214,286,10,11835,3.91,0,1.93,0,1.49,31519879,71.83,2589229,5.9,0,1.88,0,0,823428,0
107.L1,12740804,50,2779340,21.81,21.06,8326,424,2168,131,8,6019,3.78,0,1.98,0,1.59,9085436,71.31,720310,5.65,0,1.22,0,0,155718,0
107.L2,12920518,50,2816959,21.8,21.06,8467,432,2145,115,2,6205,3.78,0,1.97,0,1.33,9216121,71.33,729295,5.64,0,1.22,0,0,158143,0
111.L1,48503701,50,9804514,20.21,21.13,26811,2925,10741,225,10,15835,3.92,0,1.69,0,1.43,34605420,71.35,3165155,6.53,0,1.91,0,0,928612,0
111.L2,49902738,50,10088386,20.22,21.13,28078,3026,11090,231,11,16746,3.93,0,1.68,0,1.38,35604588,71.35,3253200,6.52,0,1.92,0,0,956564,0
115.L1,59784148,50,12740895,21.31,21.87,63782,17223,31489,391,15,31887,3.66,0,1.66,0,1.66,42330356,70.81,3441309,5.76,0,2.12,0.01,0,1265618,5970
115.L2,60462796,50,12879109,21.3,21.87,64892,17821,32453,425,7,32007,3.66,0,1.7,0,1.55,42819361,70.82,3477921,5.75,0,2.12,0.01,0,1280366,6039
119.L1,14555021,50,4789182,32.9,35.27,97888,87186,90082,716,49,7041,1.41,0.01,1.59,0.01,1.47,8712493,59.86,810805,5.57,0,1.5,0.16,0,219164,23377
