"","FemaleID","Date","time","pH1","pH2","pH3","Temp1","Temp2","Temp3","Avg.pH","Avg.temp","notes","Postcop","phase","DayRO","MalePresence","X","MaleID","DyadID","MHCI_allele_comp","MHCII_allele_comp","MHCI_supertype_comp","MHCII_supertype_comp","Female_stMLH","Female_MHCI_allele","Female_MHCII_allele","Female_MHCI_supertype","Female_MHCII_supertype","Male_stMLH","Male_MHCI_allele","Male_MHCII_allele","Male_MHCI_supertype","Male_MHCII_supertype","KINSHIP"
"1","Barbie",2019-01-24,"17:20",7.61,7.67,7.33,24.2,23.8,25.4,7.536666667,24.46666667,"","N","non-fertile",-11,"With Male",1,"Momo",1,0.2941,0,0.666666666666667,0.285714285714286,0.940550801,12,5,9,4,1.038536994,10,8,6,5,-0.0928548
"2","Barbie",2019-02-07,"13:00",7.33,7.41,7.48,23,23.8,23,7.406666667,23.26666667,"","N","post-fertile",2,"With Male",1,"Momo",1,0.2941,0,0.666666666666667,0.285714285714286,0.940550801,12,5,9,4,1.038536994,10,8,6,5,-0.0928548
"3","Barbie",2019-02-12,"16:30",7.78,7.98,7.97,24.1,24.8,23.9,7.91,24.26666667,"","N","non-fertile",7,"With Male",1,"Momo",1,0.2941,0,0.666666666666667,0.285714285714286,0.940550801,12,5,9,4,1.038536994,10,8,6,5,-0.0928548
"4","Barbie",2019-02-13,"12:50",7.31,7.16,7.46,30.7,29.4,29.5,7.31,29.86666667,"","N","non-fertile",8,"With Male",1,"Momo",1,0.2941,0,0.666666666666667,0.285714285714286,0.940550801,12,5,9,4,1.038536994,10,8,6,5,-0.0928548
"5","Barbie",2019-02-14,"12:50",7.33,7.32,7.32,30,30.5,29.3,7.323333333,29.93333333,"","N","non-fertile",9,"With Male",1,"Momo",1,0.2941,0,0.666666666666667,0.285714285714286,0.940550801,12,5,9,4,1.038536994,10,8,6,5,-0.0928548
"6","Barbie",2019-02-15,"12:30",7.49,7.68,7.61,26.6,27,27.9,7.593333333,27.16666667,"","N","non-fertile",10,"With Male",1,"Momo",1,0.2941,0,0.666666666666667,0.285714285714286,0.940550801,12,5,9,4,1.038536994,10,8,6,5,-0.0928548
"7","Barbie",2019-02-19,"17:45",7.53,7.54,7.43,29.6,31.5,30.9,7.5,30.66666667,"","N","non-fertile",14,"With Male",1,"Momo",1,0.2941,0,0.666666666666667,0.285714285714286,0.940550801,12,5,9,4,1.038536994,10,8,6,5,-0.0928548
"8","Barbie",2019-02-20,"12:44",7.33,7.33,7.55,29,27.8,24.6,7.403333333,27.13333333,"","N","non-fertile",-12,"With Male",1,"Momo",1,0.2941,0,0.666666666666667,0.285714285714286,0.940550801,12,5,9,4,1.038536994,10,8,6,5,-0.0928548
"9","Barbie",2019-02-21,"16:40",6.81,6.61,6.23,29.5,28.9,27.7,6.55,28.7,"","N","non-fertile",-11,"With Male",1,"Momo",1,0.2941,0,0.666666666666667,0.285714285714286,0.940550801,12,5,9,4,1.038536994,10,8,6,5,-0.0928548
"10","Odila",2019-04-12,"13:45",5.58,5.77,5.97,28,28.5,31.1,5.77,29.2,"","N","fertile",0,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"11","Odila",2019-04-13,"12:15",5.81,5.91,5.71,30.8,30.9,31.7,5.81,31.1,"","N","fertile",0,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"12","Odila",2019-04-14,"11:50",5.99,5.98,5.9,30.9,30.8,31.4,5.96,31,"","N","fertile",1,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"13","Odila",2019-04-15,"13:25",6.24,6.05,6.29,30.6,30.6,30.3,6.19,30.5,"","N","post-fertile",2,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"14","Odila",2019-04-16,"13:30",5.9,6.19,6.11,28.8,29.7,29.1,6.07,29.2,"","N","post-fertile",3,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"15","Odila",2019-04-17,"13:30",8,7.7,7.81,29.8,30.3,31.5,7.84,30.5,"dry","N","post-fertile",4,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"16","Odila",2019-04-18,"13:27",6.83,6.67,6.72,30.5,31.5,32.1,6.74,31.4,"","N","post-fertile",5,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"17","Odila",2019-04-19,"12:50",6.38,6.06,NA,33.9,32.8,NA,6.22,33.4,"","N","post-fertile",6,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"18","Odila",2019-04-24,"19:35",6.36,6.42,6.84,27.6,28.3,29.4,6.54,28.4,"","N","non-fertile",11,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"19","Odila",2019-04-26,"13:03",7.61,7.77,7.31,31.3,31.7,29.3,7.56,30.8,"","N","non-fertile",-10,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"20","Odila",2019-04-29,"14:00",6.17,5.99,5.99,30.3,30.4,30.3,6.05,30.3,"","N","pre-fertile",-7,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"21","Odila",2019-04-30,"14:00",6.67,6.67,6.7,30.3,30.7,31.9,6.68,31,"","N","pre-fertile",-6,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"22","Odila",2019-05-01,"11:55",6.06,5.99,5.99,33.7,33.5,30.9,6.01,32.7,"","N","pre-fertile",-5,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"23","Odila",2019-05-02,"13:35",5.8,5.72,5.72,31.1,30.1,30.4,5.75,30.5,"","N","pre-fertile",-4,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"24","Odila",2019-05-03,"13:00",5.99,5.96,5.96,30.5,30.4,30.3,5.97,30.4,"","N","pre-fertile",-3,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"25","Odila",2019-05-04,"11:30",5.86,5.81,5.81,30.8,30.3,30.4,5.83,30.5,"","N","fertile",-2,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"26","Odila",2019-05-05,"11:45",6.19,6.15,6.15,30.3,30.7,31,6.16,30.7,"","N","fertile",-1,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"27","Odila",2019-05-06,"12:30",5.93,5.45,5.45,31.3,29.9,30.5,5.61,30.6,"","N","fertile",0,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"28","Odila",2019-05-07,"11:10",5.99,5.86,5.86,30.8,30.1,31.3,5.9,30.7,"","N","fertile",0,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"29","Odila",2019-05-08,"10:10",6.51,6.51,6.51,30.1,30.4,30.2,6.51,30.2,"","N","fertile",1,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"30","Odila",2019-05-09,"13:35",6.69,6.71,6.71,30.7,30.5,30.4,6.7,30.5,"","N","post-fertile",2,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"31","Odila",2019-05-10,"13:35",6.67,6.69,6.66,32.1,31.8,31.4,6.67,31.8,"","N","post-fertile",3,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"32","Odila",2019-05-12,"10:15",6.68,6.68,6.69,31.7,31.2,32.9,6.68,31.9,"","N","post-fertile",5,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"33","Odila",2019-05-13,"15:10",5.94,6.01,5.96,33.5,32.4,33,5.97,33,"","N","post-fertile",6,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"34","Odila",2019-05-14,"19:00",5.56,5.62,5.56,30.3,29.5,30.9,5.58,30.2,"","N","non-fertile",7,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"35","Odila",2019-05-15,"13:15",5.09,5.09,5.1,31,29.7,30.5,5.09,30.4,"","N","non-fertile",8,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"36","Odila",2019-05-16,"17:50",5.94,6.03,6.02,30.9,29.9,30.5,6,30.4,"","N","non-fertile",9,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"37","Odila",2019-05-18,"11:25",6.82,6.35,6.39,30.8,29.2,29.9,6.52,30,"","N","non-fertile",11,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"38","Odila",2019-05-19,"17:05",6.53,6.51,6.46,29.7,30.8,30.3,6.5,30.3,"","N","non-fertile",12,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"39","Odila",2019-05-20,"14:45",6.24,6.34,6.25,31.4,30.3,30.9,6.28,30.9,"","N","non-fertile",13,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"40","Odila",2019-05-21,"19:05",6.41,6.42,6.46,31.8,30,31.2,6.43,31,"","N","non-fertile",14,"With Male",3,"Rodolphe",3,0.9091,0.875,1,0.857142857142857,0.972862915,11,8,5,7,0.878142928,10,7,5,6,0.192754
"41","Salade",2019-06-24,"13:00",7.52,7.7,7.24,31,32.6,32.1,7.486666667,31.9,"Same day Zampano was moved","N","pre-fertile",-7,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"42","Salade",2019-06-25,"13:20",6.98,7.21,7.09,35.3,34.1,33.7,7.093333333,34.36666667,"","N","pre-fertile",-6,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"43","Salade",2019-06-26,"12:50",6.86,6.97,6.92,31.2,32.5,33.4,6.916666667,32.36666667,"","N","pre-fertile",-5,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"44","Salade",2019-06-27,"12:41",6.93,6.88,7.1,30.8,30.8,31.2,6.97,30.93333333,"","N","pre-fertile",-4,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"45","Salade",2019-06-28,"10:30",6.98,6.86,6.86,31.6,29.7,31.1,6.9,30.8,"","N","pre-fertile",-3,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"46","Salade",2019-06-29,"9:56",7.31,7.19,7.41,32.3,32.1,33.1,7.303333333,32.5,"","N","fertile",-2,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"47","Salade",2019-06-30,"10:05",6.72,6.76,6.75,30.5,31.3,32.7,6.743333333,31.5,"","N","fertile",-1,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"48","Salade",2019-07-01,"11:28",6.62,6.5,6.51,31.2,31.4,32.6,6.543333333,31.73333333,"","N","fertile",0,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"49","Salade",2019-07-02,"10:25",7.2,7.22,NA,29.2,30.5,NA,7.21,29.85,"","N","fertile",0,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"50","Salade",2019-07-03,"11:42",7.1,7.24,7.32,32.1,32.2,31.5,7.22,31.93333333,"","N","fertile",1,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"51","Salade",2019-07-04,"11:08",6.66,6.76,6.72,28.4,32.6,33.4,6.713333333,31.46666667,"","N","post-fertile",2,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"52","Salade",2019-07-05,"13:36",6.1,6.21,6.1,34.5,33.3,33,6.136666667,33.6,"","N","post-fertile",3,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"53","Salade",2019-07-06,"12:09",6.58,6.48,NA,29.1,32,NA,6.53,30.55,"","N","post-fertile",4,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"54","Salade",2019-07-08,"11:57",7.32,7.42,7.3,31.9,32,32,7.346666667,31.96666667,"","N","post-fertile",6,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"55","Salade",2019-07-09,"13:05",6.84,7.17,7.16,29.6,30.5,32.3,7.056666667,30.8,"","N","non-fertile",7,"No Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"56","Salade",2019-07-30,"13:43",6.33,6.46,6.39,31.1,32,32.6,6.393333333,31.9,"","Y","fertile",-1,"With Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"57","Salade",2019-07-31,"8:29",6.49,6.48,6.47,31.9,32.3,31.8,6.48,32,"","Y","fertile",0,"With Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"58","Salade",2019-08-01,"12:32",6.3,NA,NA,27.8,NA,NA,6.3,27.8,"Couldn't get her to do more","Y","fertile",0,"With Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"59","Salade",2019-08-02,"15:34",6.46,6.48,6.44,28.5,30.3,31.4,6.46,30.06666667,"","N","fertile",1,"With Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"60","Salade",2019-08-03,"11:29",6.78,6.87,6.81,30.8,30.9,31.4,6.82,31.03333333,"","N","post-fertile",2,"With Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"61","Salade",2019-08-05,"12:40",6.87,6.84,6.54,30.2,30.8,28.8,6.75,29.93333333,"","N","post-fertile",4,"With Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"62","Salade",2019-08-06,"13:26",6.31,6.3,6.37,33.4,33.5,32.8,6.326666667,33.23333333,"","N","post-fertile",5,"With Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"63","Salade",2019-08-07,"12:14",6.21,6.24,6.25,31.1,31.9,33.1,6.233333333,32.03333333,"","N","post-fertile",6,"With Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"64","Salade",2019-08-08,"13:07",6.34,6.42,6.4,30.4,33.6,34.5,6.386666667,32.83333333,"","N","non-fertile",7,"With Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
"65","Salade",2019-08-09,"12:21",6.4,6.31,6.35,30.3,32.9,32,6.353333333,31.73333333,"","N","non-fertile",8,"With Male",9,"Alf",9,0.1176,0.1667,0.5,0.6,0.982661534,10,7,7,3,0.986394341,9,7,8,5,-0.100036
